Fichier;Périmètre;Octets;Lignes;SHA256;Traitement
"work/figma-implement-features-20260714/src/app/components/ui/menubar.tsx";"Prototype Figma séparé";"8426";"277";"1f0173397dac560a4748782bb595c956155a9360755667bee3d18c4a0f1179b1";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/navigation-menu.tsx";"Prototype Figma séparé";"6684";"169";"df9f6e0c1d3fb1b265f8561ef00c98412f24a360a00cb7935b7c6f9a0d7513e6";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/pagination.tsx";"Prototype Figma séparé";"2709";"128";"10bad2279ea5120ade645a1a834ed74f2471cde0fe7f3e9457fcb4918b7d0bc3";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/popover.tsx";"Prototype Figma séparé";"1641";"49";"f14e16bebcfb1b605f6336d52153e43b76456c419930faea216d0ce2e3b1d3b7";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/progress.tsx";"Prototype Figma séparé";"743";"32";"956cf4b485bcf57684caac10df2aa2a72387d0736d8f4cd1315c49ebd2da4615";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/radio-group.tsx";"Prototype Figma séparé";"1471";"46";"ecaeebb62d064893c23e7242b796ff5834e2b430676b3eecb1b3d4bc413283c8";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/resizable.tsx";"Prototype Figma séparé";"2036";"57";"7930ed39d1095de95193bb72ef046b8198647e1114d9a437aa1cd04c0975c5a8";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/scroll-area.tsx";"Prototype Figma séparé";"1649";"59";"5bd9bb1d6909467b431283e96d2a9c83003bca1aa043d149dcfed8e81de51986";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/select.tsx";"Prototype Figma séparé";"6275";"190";"6aaf2111952394fbb8c64a505af02d08da28cc25726d61a991daebe400772480";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/separator.tsx";"Prototype Figma séparé";"707";"29";"54cc34fc3ef7e445948c5bccf7307efbb2c8f9e63db0fc68dd3fa8ee54dc9812";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/sheet.tsx";"Prototype Figma séparé";"4105";"140";"8e1e064f92e2463bc7b8bb227a7c4d68d7464837c02d48ff75a87585d864c54c";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/sidebar.tsx";"Prototype Figma séparé";"21663";"727";"24e197a06698ac0606e99b3ab9e7c31e9544e759eb929d22f37ea15391cae1c1";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/skeleton.tsx";"Prototype Figma séparé";"275";"14";"7fd5d7f3ea479c3c1ae7be79bdbaf84c87647333768f70d396cd84580535d485";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/slider.tsx";"Prototype Figma séparé";"2006";"64";"19dd9d8b758f41fa61967d1a0540ea34ed989727258d23eef9a50cdebcab805b";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/sonner.tsx";"Prototype Figma séparé";"571";"26";"c5853f16cc11cb69e0115bab13eeabe7be5dad16fafd77b35cdfe4dbc64f0256";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/switch.tsx";"Prototype Figma séparé";"1182";"32";"d4c744131c6161300510909aafe2c2cb6d819f2c7a8c2aeb75d4317004c7eff7";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/table.tsx";"Prototype Figma séparé";"2460";"117";"e4ec7d3be042efd0fa363a57dd0e649a7831b86f975d4ec5192ebbfdd66e0f95";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/tabs.tsx";"Prototype Figma séparé";"1945";"67";"933b8f421bd84b21a22e3fd11cd62fbf4fd8b6fb7252f42ea706b9cd29255051";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/textarea.tsx";"Prototype Figma séparé";"767";"19";"6c3127c28ba1dda0428ba286a9e291c52ad95bfc8acd10518b262b71e470f3e7";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/toggle-group.tsx";"Prototype Figma séparé";"1920";"74";"43e56c5487ed93a2e0d418dcf944a646c716b8c8c55d050fcda1d5cd1248cce6";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/toggle.tsx";"Prototype Figma séparé";"1565";"48";"31f91bca26bed6bc884e3dbebe095046d4cf925b9d7676094721ac287d0b2135";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/tooltip.tsx";"Prototype Figma séparé";"1897";"62";"2f3a8720fb4b75c6911450be73d0407e2a84bb5ea1ded28ccdbf955be62a0155";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/use-mobile.ts";"Prototype Figma séparé";"585";"22";"738d8e4520edeca7caa2ca56a4923839e30be14a00fc32b5a770f5d5b451a63e";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/utils.ts";"Prototype Figma séparé";"169";"7";"d1f1e0d62cb8d8d1e04c26e14de842d8a151f75812d81b046c65b5d1fe8e4b27";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/imports/pasted_text/projet-analyse.md";"Prototype Figma séparé";"54300";"2250";"eb1109f3f0b7d9a47b16561413c67f5557d1956662d68a42b620bfc7b24d1383";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/main.tsx";"Prototype Figma séparé";"183";"7";"31534914ad17a147a266479b0b43fa771e6b8b9e79c8d099333dbec3f73e547c";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/styles/fonts.css";"Prototype Figma séparé";"300";"2";"d5e9dc83eb3f9a12c94ab4189133d21df6838a8e335e62b2d98ff557dd40b3db";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/styles/globals.css";"Prototype Figma séparé";"0";"1";"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/styles/index.css";"Prototype Figma séparé";"72";"4";"9cf0c73c5a7251c9e1f087665c7936fb39a0ee7641cae20cd4b18955a32ed099";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/styles/tailwind.css";"Prototype Figma séparé";"98";"5";"c7dddb734b0c9e3cfaa6698cd725f018b8a5e41f847ae42fd9b0269d44ee9ff4";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/styles/theme.css";"Prototype Figma séparé";"5793";"200";"81d016ee348c2581c5c4f29b65b36487b79af25821e1c1d2ea50cc94a1bf07c5";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/vite.config.ts";"Prototype Figma séparé";"926";"37";"ee76dd1dd0bf18ccc1ef456cd6fdedf3280aaeb5c15633d0104c2601dff732e7";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/npm-cache/_logs/2026-07-13T20_21_35_525Z-debug-0.log";"Cache/outillage sans fonctionnalité";"6157";"88";"c2916a6a975777ec7de84e3ca18e724c7df004bf9810d5985f8aea93756039c2";"Inventorié ; aucun code métier à auditer"
"work/npm-cache/_update-notifier-last-checked";"Cache/outillage sans fonctionnalité";"0";"1";"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855";"Inventorié ; aucun code métier à auditer"
"work/pnpm-store/v11/index.db";"Cache/outillage sans fonctionnalité";"8192";"";"cd7dcaaff3237bf367c869a8d46abec8342638105eb326e176582e91559c2d81";"Inventorié ; aucun code métier à auditer"
